# Pearson and Lee (1903) On the laws of inheritance in man.
#     I. Inheritance of physical characters. Biometrika 2(4):357-462
# Table 25: father's stature and daughter's stature
father,daughter
63.6,52.6
64,53.9
65.5,55.8
58.8,56.2
59.4,56.1
62.5,56.1
62.9,56.9
65.7,56.3
67.3,56.7
58.7,57.2
61.8,57.2
61.6,57.3
62.2,57.1
62.4,57.3
62.5,57.4
62.2,57.6
62.2,57.2
63.9,57.9
64.7,57.2
64.3,57.1
65.6,57.8
66.8,57.8
66.6,57.2
66.4,57.2
69.4,57.7
61.5,58.2
62.7,58.7
63.1,58.7
64.7,58
64.6,59
65.3,58.5
66.4,59
66.8,58.1
66.6,58.8
66.2,58.5
66.5,58.9
67.1,58.7
67.2,58
67.6,58.3
68.9,58.4
58.4,59.8
59.5,59.6
60.8,59.9
60.7,59.6
62.6,59.4
62.9,59.9
62.9,59.1
62.8,59.6
62.8,59.9
62.6,59.1
63.1,59.7
63.3,59.4
63.6,59.7
64,59.3
64,59.8
64.9,59
64.1,59.2
64,59
64.8,59.4
64.9,59.6
65.6,59.3
65.1,59.9
65.5,59.4
65.3,59.8
65.6,59.3
65.7,59.9
66,59
66.3,59.3
66,59.8
66.3,59.5
66.7,59.1
66,59.7
66.1,59.8
66.7,59.9
66.7,59.9
66.5,59.2
66.8,59
66.9,59.1
67.5,59.1
67.1,59.9
67.4,59
68.8,59.2
68.3,59.9
68,59
69.8,59.2
69.5,59.3
70.8,59.3
71.1,59.7
59.5,60.7
61.7,60.3
61.2,60.7
61.5,60.3
62.1,60
62.8,60.9
62.9,60.2
62.9,60.5
62.8,60.9
62.8,60.7
63,60.3
63,60.6
63.9,60.7
63.9,60.6
63.4,60.4
63.8,60.9
64,60.3
63.4,60.9
64.9,60.7
64.7,60.6
64.2,60
64.5,60.9
64.1,60.3
64.9,60.3
64,60.2
64.7,60.5
64.8,60.8
64.2,60.8
64.2,60.4
64.7,61
64.6,60.3
65.3,61
65.5,60.3
65.1,60.1
66,60.9
65.6,60.1
65.9,60.4
65.1,60.9
66,60.2
65.3,60.9
65.8,60.1
65.6,60.8
65.5,60.5
65.1,60.2
65.3,60.8
65.7,60.7
65.5,60.1
65.7,60.8
65.6,60.2
66.9,60.8
66.6,61
66.2,60.1
66.9,60.7
66,60.3
66.3,60.1
66.8,61
66.1,60.8
66.2,60.9
67,61
66.4,60.1
66.7,60.8
66.9,60.8
66.1,60.8
66.1,60.5
66.5,60.2
66.5,60.4
66.6,61
66.2,61
66.5,61
67.4,60.1
67.3,60.5
67.6,60.1
67.5,60.2
67.5,60.2
68,60.7
67.2,60.6
67.8,60.1
67.6,60.1
67.4,60.1
67.6,60.5
68.9,60.7
68.5,60.7
68.1,61
68,60.8
68.3,61
68.8,60.5
68.2,60.8
68.7,60.7
68.9,60.9
69.9,60.7
69.3,60.8
69.2,60.6
69.3,60.1
70.2,60.2
70.7,60.9
71.3,60.8
72.6,60.8
60.9,61.3
60.8,61
61.6,61.2
61.1,61.1
63,61.6
62.6,61.4
62.3,61.3
62.4,61.2
62.8,61.8
62.4,61.3
62.1,61.1
62.4,61.7
62.5,61.8
62.8,61.4
63.8,61.4
63.7,62
63.2,61.4
63.3,61.9
63.4,61.9
63.1,61.3
63.9,61.9
63,61.9
63.2,61.5
63.1,61.1
63.1,61
64,61.3
64.8,61.1
64,61
64.7,61.7
65,61
64.1,61.8
64.8,61.4
64.8,61.1
64.2,62
64.3,61.8
64.5,61.1
64.9,62
64.6,61.9
65.8,61.6
65.3,61.7
65.4,61.1
65.1,61.3
65.4,61.8
65.2,61.9
65.2,61.9
65.1,61.4
65.4,61.1
65.3,61.1
65,61.3
65.7,61.5
65.9,61.7
65.8,61.6
65.1,61.6
65.5,61.3
65.9,61.9
66,61.5
65.1,61.8
65.5,61.1
65.2,61.3
65.6,61.9
65.9,61.7
65.9,61.7
66.6,61.3
66.8,61.8
67,61.3
66.8,61.3
66.1,62
66.8,61.2
66.7,61.4
66.1,61.8
66.3,61.4
66.6,61.3
66.1,61.6
66.7,61.7
66.1,61.5
66.4,61.2
66.5,61.1
66,61.5
66.3,61.7
66.3,61.1
66.8,61.8
66.4,61.5
66.7,61.2
66.1,61
66.4,61.6
66.3,61
67.7,61.2
67.5,61.3
67.4,61.1
68,61.5
67.4,61.1
67.2,62
67.7,61.1
67.4,61.9
67.3,62
67,61.7
67.5,61.1
67.9,61.6
67.4,61.2
67,61.8
67.7,61.6
67,62
67.9,61.6
67.8,61
67.8,61
67.5,61.6
68.1,61.2
68.4,61.2
68.5,61.5
68.9,61.4
68.6,61.8
68.1,61.2
68.4,61.9
68.8,61.1
68.5,61.1
68.8,61.7
68,61.6
68.9,62
68.7,61.8
68.8,61.5
68.4,61.7
68.8,61.1
69.1,61
69.5,61.5
69.8,61
69.6,61.9
69.1,61.4
69.8,61.3
69.5,61.2
69.3,62
69.5,61.6
69.7,61.6
70.1,61.7
70.9,61.2
70.2,61.6
70.7,61.8
71.4,61.9
71,61.4
71.1,61.4
72.1,61.6
59,62.3
60.7,62.1
60.6,62.6
62,62.2
61.4,62.1
62.5,62.1
62.8,62.6
62,62.9
62.1,62.1
62.2,62.8
63.6,62.9
63.6,62.5
63.8,62.6
63.3,62.9
63.8,62.3
64,62.1
63.1,62.1
63.8,62.1
63.6,62
63.7,62.4
63.1,62.2
63.2,62.5
64.1,62.9
64,62.9
64.9,62.8
64.9,62.5
64.2,62.7
64.1,62.7
64.5,62.8
64.6,62.9
64.4,63
64.3,62.4
64,62.8
64.9,62.1
64.9,62
64.1,62.9
64.9,62.2
64.9,62.8
65,62.1
64.2,62.8
64.4,62.4
64.9,62.4
64.9,62.5
64.6,62.6
65.5,62.6
65.1,62.4
65.5,62.5
65.1,62.7
65.3,62.1
65,62.3
65.5,62.3
65.3,62.5
65.6,62.5
65.1,62.5
65.9,62.8
65.9,63
65.5,62.4
65.8,62.8
65.8,62.1
65.5,62.4
65.8,62.8
65.2,62.6
65.4,62.8
65.2,62.7
65.4,62.3
65.1,62.1
65.1,62.2
65.1,62.4
65.3,62.2
66,62.5
66.8,62.2
66.6,62.4
66.2,62.4
66.6,62.4
66.7,62.9
66.9,62.5
66.3,62
66.5,62.4
66.3,62.1
66.7,62.9
66.5,62.6
66.9,62.6
66.8,62
66.2,62.5
66.7,62
66.4,62.5
67,62.8
66.4,62.9
66.4,62.3
66.1,62.8
66.6,62.6
66.6,62.7
66.6,62.6
66.4,62.1
66.2,62.6
66.8,62.1
66.2,62.5
66.7,62.6
66.9,63
66.2,62.1
66.4,62.4
66.5,62.3
66.3,62.6
67.5,62.4
68,62.2
67.5,63
67.2,62.7
67.6,62.5
67.3,62.3
67.6,63
67.3,62.6
67.1,62.8
67.9,62.8
67.3,62.9
67.1,62.6
67.7,62.3
67.1,62.5
67.4,62.3
67.3,62.9
67.6,62.1
67.6,62.4
67.9,62.6
67.5,62.6
67.3,62.7
67.4,62.7
67.6,62.2
67.2,62.5
67.6,62.7
67,62.7
67.4,62.1
67,62.9
67.2,62.9
68.4,62.3
68.4,62.7
68.3,62.1
68.1,62.6
68.1,62.1
68.3,62.7
68.4,62.9
68.7,62.6
68.9,62.8
68.7,62.8
68.5,62.4
68.6,62.8
68.2,62.4
68.4,62.9
68.8,62.2
68.3,62.3
68.1,62.3
68.3,62.4
68.7,62
68.7,62.6
68.9,62.8
68.5,62.9
68.1,62.1
68.6,62.3
68.4,62.9
69.8,62.6
70,62.6
69,62.3
69.4,63
69.8,62.5
69.8,62.2
69.9,63
69.1,62.8
69.6,62.7
69.2,62.1
69.1,62.2
69.1,62.3
69.2,62.2
69.5,62.6
70.4,62.6
70.1,62.1
70.5,62.4
70.6,62.2
70.2,62.7
70.5,62.7
70.5,62.2
70.4,62.5
70.1,62.1
70.2,62.3
70.4,62.4
70.3,62.8
70.6,62.3
70.4,62.3
71,62.4
71.9,63
71.9,62.6
71.5,62.1
71.3,62.7
72.7,62.1
61.1,63.6
62,63.9
62.9,63.7
62.4,64
63,63.9
62.8,63.2
62.5,63.2
62.5,63.9
64,63.2
63,63.6
63.1,63.7
64,64
63.9,64
63.1,63.2
63.9,63.3
63.6,63.8
64.3,63.6
64.3,63.6
64.5,63.6
64.3,63.7
64.5,63.1
64.1,63.2
64.5,63.1
64.9,63.9
64.9,63.1
64.1,63.1
64.2,63.4
65.5,63.4
65.4,63.3
65.1,63
65,63.5
65.4,63.1
66,63.5
65.6,63.6
65.7,63.7
65.9,63.2
65.6,63.4
65.6,63.2
65.5,63.5
65.3,63.6
65.3,64
65.9,63.7
65.4,64
65.9,63.5
65.1,63
65.4,63.5
65.3,63.7
65.5,63.9
65.8,63.7
66,63.4
65.5,63.7
65.8,63.2
65,63.9
65.2,63.3
66.7,63.2
66.2,63.9
66.4,63.2
66.6,63.8
66.9,63.7
66.4,63.8
66.2,63.2
66.2,63.6
66.4,63.3
66.7,63.8
66.9,63.9
66.6,63.5
66.4,63.2
66.3,63.7
67,63.1
66.9,63.4
66.2,63.6
66.5,64
66.8,63.7
66.5,63.4
66.4,64
66.9,63.6
67,63.1
66.3,63.2
66.2,63.6
66.6,63.3
66.8,63.9
66.3,63.9
66.8,63.1
66.1,63.4
66.4,63.9
66.8,63.7
66.4,63.9
66.3,63.6
66.9,63.4
66.8,63.9
67.9,63.5
67.5,63.4
68,63.9
67.8,63.1
67.2,64
67.8,63.1
67.4,63.1
67,63.8
67.3,63.3
67.8,63.1
68,63.5
67.9,63.3
67.4,63.3
67,63.2
67.4,63.8
67.4,63.9
67.3,63
67.1,63.3
67.2,63.4
67.6,63.3
67.8,63.4
68,63.6
67.4,63.4
67.8,63.9
67,63.9
67.7,63.6
67.2,63.8
67.1,63.9
67.7,63.3
67.6,63.7
67.2,63.3
67.6,63
67.7,63.6
67.8,63.9
67.4,63
68,63.3
67.5,63.4
68.2,63
68.2,63.3
68.2,63.6
68.6,63.5
68.7,63.6
68.6,63.9
69,63.8
68.7,63.9
68,63.6
68.4,63.4
68.8,63.5
68.9,63.5
68.5,63.3
68.1,63.5
69,63.9
68.4,63.7
68.8,63.4
68.9,63.8
68.2,63.4
68.4,64
68.9,63.2
68.7,63.1
68.3,63.2
68.2,63.7
68.8,63.3
68.2,63.5
68.8,63.8
68,63.1
68,63.8
68.7,63.2
68.1,63
69.2,63.1
69.5,64
69.5,63.5
69.5,63.3
69.5,63
69.5,63.1
69.6,63.7
69.7,63.4
69.7,63.1
69.8,63.5
69.8,63.1
69.5,63.8
69.6,63.9
69.1,63.8
69.8,63.9
70,63.4
69.1,63.8
70,63.6
70,63.5
69.2,63.4
69.3,63.9
69.5,63.6
69.4,63.4
69.7,63.1
69.7,63.9
