# Pearson and Lee (1903) On the laws of inheritance in man.
#     I. Inheritance of physical characters. Biometrika 2(4):357-462
# Table 8: father's stature and mother's stature
father_stature,mother_stature
65.5,52.6
68.3,54.1
62.9,55.8
68.8,55.8
62.5,56.2
63.6,56.6
65.1,56.2
66.3,56.3
67.1,56.2
67.6,56.8
62.4,57.2
63,57.4
63.3,58
64.2,57
65.1,57.6
65.7,57.3
65.4,57.7
65,57.6
66.4,58
66.4,57.5
66.3,57.3
67.5,57.1
67.4,57.7
67.7,57.7
68.2,57.9
68.5,57.5
68.5,57.3
69,57.6
70,57.6
70.7,57.9
60.1,58.2
62,58.8
62.1,58.7
63.1,58.7
63.2,58.6
63.1,58.6
64.5,58.3
64.6,58.3
64.7,58.2
64.9,58.7
65.6,58.2
65.6,58.6
65.9,58.7
65.5,58.3
65.9,58.4
65.6,58.7
65.8,58.8
66.6,58.3
66.7,58.3
66.4,58.6
66.7,58
66.5,58.7
67.1,58.2
67.7,58.8
67.9,58.8
67.2,58.7
67.4,59
68.6,58.2
68.6,58.3
68.3,58.8
68.4,58.1
69.7,58.6
70.2,58.5
70.8,59
59.4,59.4
60.1,59.2
61.9,59.4
62.1,59.2
63,59.4
62.7,59.5
62.4,59.5
63.9,59.4
63.8,59.6
63.7,59.2
63.3,59.1
64,59.2
64.9,59.5
64,59.1
64.5,60
64.6,59.3
64.1,59.2
64.8,60
64.6,59.2
64.3,59.5
65.8,59.7
65.4,59.2
65.5,59
65.1,59.6
65.5,59
65.6,60
65.6,59.9
65.6,59.4
65.7,59.7
65.6,59.1
66.2,59.5
66.8,59.8
66.5,59.4
66.1,59.2
66.2,59.4
66.3,59.8
66.6,59.3
66.3,59.9
66.2,59.3
66.3,59.5
66.5,59.2
66.4,59.8
66.1,59.6
66.3,59.2
66.1,59.8
67.9,59.5
68,59.1
68,59.8
67.2,59.3
67.9,59.5
67.8,59.8
67.9,59.4
67.9,59.7
67.4,59.8
67.8,59.1
67.4,59.9
67.3,59.4
67.1,59.6
67.5,59.9
67,59.8
67.6,59.6
67.1,59.9
68.2,59.9
68.1,59.3
68.5,59.7
68.8,59.4
68.2,59.9
68.2,60
68.7,59
68.5,59
68.6,59.4
69.9,59.2
70,59.1
69.8,59.6
69.6,59.1
69.1,59.7
69.5,59.6
70.6,59.8
70.5,59.7
70.9,59.5
71.1,59.1
71.2,59.3
72.4,59.8
60.7,60.2
61.9,60.4
61.2,60.5
62.2,60.9
62.2,60.8
62.2,60.9
62.6,61
63.9,60.8
63.2,60.6
63.9,60.1
63.2,60.8
63.8,60.5
64.1,61
64.6,60.4
64.6,60.9
64.3,60.7
64.9,60.7
64.6,61
64.3,60.4
64.2,61
64.8,60.6
64.4,60.9
64.4,60.2
64,60.9
64.4,60.5
64.1,60.3
64.1,60
64.3,60.4
64.6,60.4
64.9,61
65.8,60.2
65.5,60.7
65.6,60.4
65.6,60.8
65.9,60.3
65,60.6
65,60.2
65.2,60.9
65.7,60.2
65.9,60.9
65.8,60.3
65.2,60.8
65.8,60.2
65.7,60.7
65.9,60.2
65.8,60.6
66.8,60
67,60.3
66.2,60.6
67,60.8
66.5,60.3
66.4,60.2
66.2,60.1
66.8,60.5
66.1,60.6
66.2,60.6
66.1,60.7
66.4,60.5
67,61
66.6,60.5
66.2,60.1
66.4,61
66.2,60.9
66.9,60
66.7,60.3
66.5,60.6
66.9,60.5
66.1,60.2
66.2,60.2
66.9,60.8
67.7,60.6
67.1,60.4
67.2,60.6
67.6,60.3
67.7,60.4
67.9,60.2
67.9,60.4
67.3,60.4
67.5,60.5
67.5,60.4
68,60.2
67.2,60.5
67.2,60.7
67.8,60.3
68,60.6
68.1,60.7
68.5,60.2
68.1,60.6
68.3,61
68.7,60.5
68.4,60
68.6,61
68.2,60.3
68.9,60.3
68.4,61
68.7,60.3
68.5,60.6
68.2,60.2
68.1,60.4
68.7,60.4
68.8,60.8
68.2,60.4
