# Pearson and Lee (1903) On the laws of inheritance in man.
#     I. Inheritance of physical characters. Biometrika 2(4):357-462
# Table 1: father's stature and father's span
span,stature
60,58.7
60.9,59.7
60.6,60.9
60.4,60.7
60.8,61.7
60.4,62.8
60.6,63.8
60.9,64.8
61.5,59.9
61.5,60.3
61.5,61.7
61.5,61.9
61.4,62.9
61,62
61.9,62.6
61.9,63.9
61.8,63.1
61.4,64.1
61.6,65
61.8,65.7
61.5,65.6
62.9,60.7
62.3,61.1
62.4,61.2
62.1,62.1
62.6,62.6
62.4,62.6
62.8,62.5
62.7,62.1
62.8,63.2
62,64
62.4,63.6
62.2,63.2
62.6,64.3
62.6,65
62.4,65.6
62.6,65.4
62.9,65.5
62.2,66.1
63.7,60.6
63.5,61.9
63.2,62.4
64,62.2
63.9,62.8
63.7,62.3
63,62.9
63.2,63.5
63.2,63.4
63.9,63.7
63.4,63
63.5,63.4
63.3,63.2
63.8,63.4
63.2,64.4
63.6,64.1
63.9,64.3
63.2,64.2
63.1,64.9
63.7,64.2
63.3,64.8
63.8,65
63.2,65.4
63.6,65.3
63.7,65.5
63.7,66.2
63.7,66.3
63.8,66.7
64.5,61.6
64.8,62.1
64.1,62.6
64.4,63
64.2,62.1
64.9,62
64.1,62.1
65,62.3
64.9,62
64.9,62.9
64.5,62.7
64.7,63.4
64.9,63.9
64.4,63.2
64.3,63.4
64.9,63.8
64.7,63.4
64.3,63.1
64.7,63.1
64.5,63
64.9,63.9
64.7,63.5
64.7,63.6
64.5,64.8
64.4,64.9
64.8,64.7
64.8,64.4
64.2,65
64.6,64.7
64.8,64.1
64,65
64.8,64.2
64.8,64.3
64.6,64.8
64.9,64.4
64.1,64.8
64.9,65.5
64.6,65.6
64.5,65.3
64.7,65.4
64.7,65.9
64.4,65
64.6,65.3
64.7,65
64.2,65.6
64.1,65.1
64.1,65.8
64.2,65.8
64.5,65.7
64,65
64.2,65.5
64.1,65.6
64.2,66.9
64.8,66.7
64.5,66.8
64.4,66.4
65,66.5
64.7,67.2
64.1,67.8
64.5,68.7
64.5,68.3
64.2,70.8
65.1,61.8
65.6,62.1
65.4,62.4
65.6,62.8
65.8,62.8
65.8,63.3
65.3,63.9
65.2,63.7
65.9,64
65.5,63.8
65.5,63.8
65.2,64.1
65.2,64.1
65.7,64.5
65.2,64.7
65.5,64.2
65.7,64.5
65.3,64.4
65.8,64.1
66,64
65.4,64.7
65.2,65
65.6,64
65.9,64.9
66,64.8
65.9,64.4
65.8,64.6
65.1,65
65,66
65.3,65.9
65.9,65.5
65.9,65.1
65.4,65.9
65.1,65.2
65.2,65.7
65.7,65.9
65.9,65.6
65.4,65.6
66,65.5
65.1,65
65.4,65.3
65.3,65.7
65.6,65.7
65.2,65.2
65.9,65.7
65.1,65.5
65.2,65.3
65.8,66.3
65.6,66.9
65.9,66.9
65.1,66.1
65.4,66.1
65.5,66.7
65.3,66.9
65.6,66.5
65.6,66.9
65.8,66.9
65.5,66.8
65.5,66.8
65.1,68
65.2,67.3
65.9,67.8
65.3,67.1
65.2,67.1
65.7,67.4
65.7,68.4
65.5,68.3
65.5,69.3
65.7,69.9
65,70.6
66.1,61.2
66.4,62.4
66.6,62.5
66.9,62.5
66.3,63.6
66.8,63.7
66.3,63.6
66.1,63.6
66.8,64.6
66.9,64.1
66.2,64.3
67,64.8
66.7,64.5
66.9,65
66.7,64.1
66,64.2
66.9,64.5
66.2,64.6
66.9,64.7
66.8,64.5
66.3,64.4
66.2,64.3
66.1,64.7
66.5,65.3
66.6,65.2
66.5,65.9
66.2,65.4
66.3,65.7
66.1,65.3
66.6,65.7
67,65.8
66.9,65.4
66.5,65.9
66.9,65.1
66.5,65.7
66.6,65.8
66.8,65.1
66.2,65.6
66.9,65.5
66.6,65.4
66.6,65.3
66.2,65.7
66.7,65.2
66.8,65.3
66.7,65.3
66.6,65.3
66,65.2
66.5,65.5
66.2,66.1
66.3,66.6
66.6,66.6
66,66.2
66.7,66.8
66.1,67
66.3,66.7
66.3,66.8
66.7,66.3
66.7,66.3
66.8,66.6
66.5,66.3
66,66.2
66.6,66.2
66,66.4
66.3,66.7
66.3,66.4
66.3,66.8
66.7,66.3
66.4,66.9
66.8,66.8
67,66.6
66.2,66.6
66.6,66.8
66.2,66.9
66.5,66.8
66.2,66.5
66.2,66.1
66.7,66.4
66.1,66.9
66.4,66.5
66.2,66.4
66.3,66.9
66.3,66.7
66.1,66.3
66.4,67.3
66.3,67.4
66.1,67.7
66.1,67.8
66.9,67.5
66.1,67.1
66.4,67.6
66.7,67.5
66.7,67.2
66.7,67.7
66.9,67.3
66,67.6
66.5,67.2
66.3,67.7
66.4,67.6
66.6,67.1
66.3,67.5
66.5,68.1
66.1,68.9
66.3,68.3
66.5,68.8
66.8,68.4
66.7,68.5
66.9,68.7
66.2,68.7
66.2,68.5
66,68.2
66.2,69.4
66.5,69.8
66.3,70.5
67.9,62.7
67.1,62.9
67.1,63.2
67.2,63.4
67.2,64
67.9,64.6
67.5,64.5
67.9,64.9
67.5,64.7
67.7,64.3
67.6,64.1
67.5,64.2
67.8,64.3
67.7,64.1
67.2,65.8
67.8,65.3
67.1,65.7
67.4,65.4
67.5,65.3
68,65.8
67.6,65.7
67.9,65.4
67.3,65.1
67.3,65
67.1,65.1
68,65.4
67.7,65.7
67.5,65.1
67.5,65.2
67.7,65.5
67.5,65.5
68,65.5
67.6,65.8
67.8,65.2
67.3,66.6
67.2,66.7
67.4,66.6
67.2,66.2
67.8,66.6
67.5,66.6
67.1,66.9
67.3,66.3
67.8,66.9
67.9,66
67.7,66.6
67.9,66.7
67.2,66.5
68,66.7
67,66.9
67.2,66.5
67.7,66.8
67.7,66.4
67.5,66.8
67.8,66.1
67.9,66.5
67.9,66.7
67.5,66.4
67.5,66.1
67.9,66.7
67.6,66.8
67.2,66.4
67.4,66.5
67.1,66.4
67,66.4
67.1,66.1
67.6,67.9
67.1,67.3
67.8,67
67.6,67.8
67.4,67.4
67.2,68
67.2,67.1
67.8,67.7
67.4,68
67.2,67.3
67.7,67.9
67.3,68
67.2,67.8
67.3,67.8
67.6,67.6
67.9,67.2
67.9,67.6
67.2,67.3
67.7,67
67.2,67.9
67.9,67.8
67.7,67.8
67.4,67.9
67.6,67.2
67.6,67.2
68,67.8
67.2,67.4
67.4,67.1
67.7,68.3
67.1,68.3
67.1,68.4
67.4,68.2
67.1,68.1
67.5,68.3
67.6,68.5
67,68.3
67.8,68
67.4,68.3
67.7,68.6
67.9,68.1
67.6,68.5
67.6,68.6
67.4,68.4
67.3,68.9
67.4,68.5
67.9,68.4
67.1,68.3
67.8,68.5
67.1,68.4
67.4,69.4
67.6,69.2
67.9,69.7
67.5,69.6
67.6,69.1
67.2,69.9
67.5,69.9
67.3,69.1
67.9,69.6
67.3,69.2
67,70.3
67.4,70.5
67.6,71.2
68,63.1
68.7,63.5
68.5,63.4
68.3,64.9
68.8,64.3
69,64.5
68.6,64.1
68.8,64.5
68.2,65.2
68,65.1
68.9,65.6
68.7,65.1
68.8,65.5
68.2,65.8
