# Pearson and Lee (1903) On the laws of inheritance in man.
#     I. Inheritance of physical characters. Biometrika 2(4):357-462
# Table 2: mother's stature and daughter's stature
mother_stature,daughter_stature
59.4,53.6
59.8,56
58.6,56.7
59.4,56
60.4,56.7
61,56.9
55.1,57.8
55.5,57.3
56.7,57.9
57.2,57.1
58,57.6
60,58
60.4,58
60.1,57.1
60.7,57.6
61.5,57.1
62,57
63.7,57.6
64.9,57.2
56.9,58
56.3,58.4
57.6,58.4
58.7,58.8
58.7,58.9
58.4,58.2
59.6,58.6
59.4,58.3
59.2,58.3
59.2,58.3
59.3,58.3
60.7,58.2
60.5,58.4
60.7,58.7
66.6,59
57.8,59.6
57.2,60
57.8,59.1
57.2,59.3
58.7,59.9
58.4,60
58.2,59.3
58.4,59.4
58.9,59.6
58,59.2
59.7,59.6
59.7,59.5
59.1,59.3
59.1,59.4
59.1,59.7
59.9,59.2
59.9,59.4
59.8,59.3
59.1,59
59.6,59.1
59.2,59.3
59.8,59.7
60.2,59.2
60.4,59.5
60.4,59.9
60.7,59.6
60.9,59.9
60.6,59.4
60.7,59.2
61,59.7
60.4,59.4
60.2,59.2
60.9,59.9
61.8,59.3
61.2,59.8
61.3,59.9
61.1,59
61.9,59.3
61.9,59.8
61.1,59.1
62,59.5
61.8,59.9
62.8,59.2
62.6,59.3
62.1,59.7
63,59.4
66.5,59.4
52.6,60.2
56,60.9
56,60.9
56.5,60.7
57,60
57.8,61
57.3,60.5
57.1,60.5
58.1,60.1
58.7,60.5
58.5,61
58.3,60.9
58.7,60.5
58,60.4
58.5,60.8
58.3,60.7
58.5,60.1
58.4,60.4
59.6,60.4
59.4,60.8
59.4,60.6
59.4,60.4
59.4,60.7
59.8,60.7
59.5,60.5
59.3,60.5
59.1,60.8
59.7,60.8
59.7,60.6
59.3,60.5
59.4,60.2
59.1,60.5
59.3,60.3
60.5,60.9
60.3,60.2
60.2,60.5
60.4,60.6
60.7,60.1
60.4,60.8
60.3,60.3
60.9,60.6
60.2,60.6
60,60.4
60.5,60.6
60.4,60.2
60.4,60.8
61,60.9
60.6,60.2
60.3,60.7
60.8,60.3
60.9,60.1
60.6,60.4
60.5,60
61.9,60.9
61.1,60.9
61.1,60.4
61.5,60.3
61.8,60.8
61.1,60.9
61.5,60.1
61,61
61,60.6
61.2,60.2
61.1,60.7
62,60.9
61.7,60.9
61.8,60.8
61.2,60.4
61.6,60.4
62.7,60.9
62.7,60.5
62.5,60.3
62.1,60.2
62.9,60.8
62.4,60.5
62.4,60.3
62.3,60
62.5,60.3
62.5,60.4
62.9,60.6
62,60.4
62.9,60.5
62.6,60.6
62.8,60.3
62.7,60.5
62.2,61
63.2,60.6
63.7,60.3
63.7,60.6
63.7,60.9
63.9,60.3
63.2,60.4
63.1,60.1
64.1,60.8
64.1,60.3
64.6,60.1
65.2,60.7
65.2,60.1
66.2,60.6
66.3,60.6
68.9,60.7
52.7,61.4
53.3,61.4
55.1,61.9
56.9,61.2
57.1,61.7
57.3,61.9
58.9,61.3
58.4,61
58.1,61.8
58.4,61.4
58.8,61.6
58.4,61.7
58.7,61.2
58.8,61.2
59.1,61.9
59.9,61.3
59.1,61.7
59.8,61.4
59.9,61.9
59.4,61.2
59.9,61.1
59.9,61.6
59.4,61.4
59.2,61
59,61.4
59.4,61.6
59.4,61.2
59.8,61.3
60,61.7
59.7,61.9
59,61.3
59,61.4
60,61.8
60.3,61.3
60.6,61.4
60.7,61.8
61,61.1
60,61.5
60.8,61.3
60.4,61.7
60.7,61.8
60.6,61.8
60.7,61.6
60.4,61.4
60.9,61.7
60.5,61.3
60.6,61.2
60.2,61.5
60.4,61.6
60.7,61.8
60.1,62
61.8,61.1
61.5,61.9
61.1,61.1
61.6,61.4
61.6,61.2
61.6,61.5
62,61.9
61.3,61.4
61.4,61.6
61.8,61.9
61.3,61.4
61.1,62
61.7,61.4
61.2,61.3
61.9,61.1
61.6,61
61.4,62
61.2,61.4
61.4,61.5
61.7,61.3
61.2,61.6
61.3,61.3
61.1,61.8
61.7,61.4
61.4,61
61.7,61.5
