# Pearson and Lee (1903) On the laws of inheritance in man.
#     I. Inheritance of physical characters. Biometrika 2(4):357-462
# Table 2: mother's stature and son's stature
mother_stature,son_stature
59.4,60.8
60,60.5
62.2,60.9
58,61.5
59.3,61.3
59.9,62.9
59.4,62.7
59.3,62.7
60.8,62.4
61.9,62.4
61.9,62.8
62.6,62.4
57.9,63.5
58.2,63.1
58.2,63
59.7,63.7
59.5,64
60,64
59.7,63.2
59.3,63.4
59.8,63.3
60.2,63.7
60.7,63.4
60.3,63.7
60,63.6
60.3,63.9
60.1,63.6
60.8,63.9
60.6,63.8
60.6,63.3
61.1,63.9
61,63.6
61.9,63.3
61.9,63.4
61.7,63.8
62.6,63.6
62.1,63.4
62.6,63.2
62.1,63.9
56.6,64.5
57.9,64.5
57.8,64.1
57.5,65
58.7,64.1
58.8,64.3
58,65
58.4,64.2
58.8,64.6
58.3,64.6
59.2,64.7
59.5,64.8
59.4,65
59.3,64.5
59.6,64.2
59.1,64.3
59.1,64.1
59.5,64.1
60,64.6
59.9,64.9
59.3,65
59,64.7
59.2,65
60.7,65
61,64.2
60.9,64.2
60.2,64.5
60.8,64.8
60.6,64.9
60.8,64.1
60.5,64.4
61.8,64.5
61.4,64.7
61.1,64.8
61.3,64.2
61.1,64.8
61.7,65
61.3,64.8
62.6,64.5
62.6,64.9
62.5,64.3
62.4,64.6
62.6,64.7
62.3,64.3
63,64.1
63.7,64.2
64.3,64.6
64.3,64.8
66.6,65
54.3,65.9
55.7,65.4
56.5,65.7
56,65.1
56.5,65.8
56.7,65.4
58,65.6
57,65
57.2,65.3
57,65.4
57.9,65.6
58.4,65.7
59,65.6
58.5,65.5
58.2,65.4
59.1,65.9
59.1,65.6
59.4,65.2
59.6,65.5
59.6,65.4
59.1,65.9
59.1,65.2
59.7,65.1
59.6,65.9
60.4,65.3
60.4,65.2
60,65.4
60.4,65
60.3,65.6
60.2,65.3
60.6,65.2
60,65.9
60.2,65.1
60.2,65.9
60.3,65.1
60.4,65.9
60.8,65.8
60.1,65.6
61.9,65.5
61.1,65.3
61.8,65.5
61.3,65.5
61.8,65.2
61.3,65.1
61.5,65.5
61.6,65.2
61.5,65.5
61.9,65.5
61.1,65.4
61.5,65.2
61.3,65.1
61.5,65.3
61.1,65.9
61.5,65.3
61,65.5
61.8,65.5
62.7,65.4
62.7,65.7
62.2,65.7
62.1,65.9
62.1,65.1
62.5,65.8
62.7,65.3
63.8,65.9
63,65.5
63.3,65.6
63.6,65.4
63.8,65.9
63,65.8
63.9,65.2
64.8,65.4
64.9,65.9
66.6,65.2
66.1,65.5
55,66.6
55.3,66.2
56.5,66
56.6,66.2
57.4,66.8
57.9,66.9
58.3,66.7
58.1,66
58.5,66.2
58,66.8
58.7,67
58.2,66.8
58.1,66.4
58.4,66.4
59.1,66.2
59.8,66.8
59.9,66.7
59.3,66.8
59.9,66.2
59.6,66.9
59.8,66.4
59.2,66.6
59.9,66.9
59.2,66.6
59.3,66.5
59.8,66
59.5,66.1
59.5,66.5
59,66.7
60.2,66.2
60.6,66.1
60.9,66.7
60.8,66.3
60.6,66.6
60.8,66.7
60.7,66.9
60.5,66.4
60.2,66.1
60.9,66.2
60.7,66.9
60.9,66.2
60.6,66.9
60.3,66.6
60.9,67
60.5,66.1
60.1,66.5
60.5,66.9
60.9,66.8
60.7,66.4
61.1,66.3
62,66.4
61.4,66.8
61.9,66.8
61.8,66.7
61.1,66.9
61.3,66.4
61.1,66.1
61.4,66.3
61.4,66.3
61.7,66.3
61.5,67
61.2,66.6
61.6,66.3
61.8,66.6
61.2,66.5
61.9,66.6
61.4,66.5
61.7,66.4
62,66.3
62.7,66.2
62.4,66.9
62.3,66.7
63,66.2
63,66.6
62.9,66.3
62.5,66.3
62.7,66.9
62.3,66.8
62.4,66
62.7,66.7
62.3,66.9
62.3,66.8
62.2,66.3
62,66.8
62,66.7
62.8,66.5
62.4,66.7
62.8,66.8
62.8,66.9
62.4,66.4
62.6,66.3
63.6,66.4
63.1,66
63.8,66.5
63.2,66.2
63.6,66.7
63.4,66.1
63,66.1
63.3,66.8
63.1,66
63.2,66.8
64.8,66.8
64.6,66.2
64.7,66.5
64.9,67
64.1,66.9
64.9,66.1
64.4,66
65,66.5
65.4,66.6
65.7,66.4
67,66.8
66.1,66.3
66.6,66.7
67.7,66.2
68.2,66.1
57.2,68
57.3,67.5
57.3,67.7
57.1,67.6
57.3,67.5
58.8,67.7
58.6,67.7
59,67.6
58.3,67.4
58.8,67.6
59.8,67.5
59,67.5
59,67.8
59.4,67.2
59.7,67.4
59.1,67.2
59.6,67.8
59.1,67.5
59.2,67.5
59.5,67.7
59.5,67.5
60.4,67.6
60.8,67.6
60.4,67.8
60.6,67.9
60.5,67.1
60.1,67.2
60.4,67.8
60,67.9
60.4,67.5
60.4,67.2
60.7,67.8
60.8,67.8
60.3,67.7
60.2,67.2
60.4,67.8
60.5,67.1
60.3,67
60.1,67.6
60.1,67.3
60.6,67.5
60.5,67
60.8,67
60.8,67.4
60.9,67.5
60.1,68
60.4,67.8
60.3,67.9
61.4,67.2
61.1,67.6
61.6,67.6
61.7,67.4
61.2,67.1
61.3,67.9
61.3,67.6
61.1,67.8
61.7,67.2
61,67.8
61.3,67.4
61.6,67.1
61.6,67.9
61.5,67.9
61.8,67.5
61.2,68
61.4,67.7
61.2,67.1
61.5,67.6
62,67.4
61.7,67.4
61.9,67.2
61.1,67.2
61.8,67.3
61.8,67.5
61.9,67.3
61.3,67.2
61.3,67.6
61.5,67.8
61.9,67.4
62,67.8
62.9,67.1
62.6,67.1
62.9,67.8
62.9,67.3
62.2,67.1
63,67.5
62.1,67.5
62.8,67.9
62.8,68
62.9,67.3
62,67.9
62.6,67.6
62.3,67.1
62.1,67.6
62.1,68
62.5,67.4
62.8,67.6
62.3,68
62.6,67.1
62.9,67.1
62.5,67.9
62,67.1
62.8,68
62.3,67.5
62.3,67.3
62.4,67
62.5,67.9
62.9,67.7
62.4,67.1
62,67.7
62.4,67.9
62.7,67.4
62.9,67.5
