# Pearson and Lee (1903) On the laws of inheritance in man.
#     I. Inheritance of physical characters. Biometrika 2(4):357-462
# Table 2: mother's stature and mother's span
mother_stature,mother_span
52.3,52.3
58.8,54.7
60.4,54.7
56.3,55.5
57.8,55.6
58,55.7
57.3,55.9
58.5,55.3
58,55.4
58.3,55.5
59,55.2
59.7,55.8
60.2,55.7
61.2,55.1
54.5,56.9
55.3,56.2
56.8,56.9
57,56.3
57.4,56.6
57.9,56.5
57.3,56.3
57.2,56.1
57,56.5
58.9,56.4
58,56.9
58.2,56.7
58.2,56.5
58.9,56
59.4,56.9
59.1,57
59.6,56.4
59.6,56.8
59.4,57
59.8,56.2
60,56.3
59.8,56.5
60.9,56.3
60.3,56.5
60.8,56.3
61.9,56
61.9,56.2
62.4,56.8
54.9,58
55.5,57.4
56.7,57.8
57.4,57.9
57,57.8
57.7,57.4
57,57.1
57.4,57.3
57.9,57.1
58.8,57.8
58.6,57.9
58.9,57.4
58.5,57.6
58.7,58
58,57.9
58.2,57.4
59.3,57.7
59.4,57.3
59.7,57.3
59.1,57.6
59.2,57.6
59.2,57.7
59.5,57.1
59.7,57.6
59.2,57.2
61,57.6
60.1,57.3
60.5,57.7
60.5,57.9
60.8,57.7
60.6,57.6
61,57.7
60.9,58
61,57.8
61.5,57.4
61.1,57.8
61.9,57.6
61.7,57.7
62.8,57.3
62.2,57.4
57.9,58.3
58.2,58.9
58.5,58.7
58.7,58.8
58.5,58.1
58.1,58.8
58.9,58.3
59.4,58.9
59.1,58.8
59.3,59
59.4,58.8
59.3,58.7
59.6,58.9
59,58.4
59.1,58.2
59.9,58.7
59.7,58.5
59.1,58.7
59.3,58.4
59.6,58.4
59.5,58.1
59.6,58.7
59.5,58.2
59.5,58.4
59.4,58.4
60.3,58.2
60.6,58.9
60.3,58.4
60.1,58.6
60.8,58.1
60.3,58.8
60.3,58.1
60.7,58.1
60.1,58
60.6,58.3
60.5,58.8
60.6,58.1
60.2,58.5
60.4,58.1
60.9,58.1
60.2,58.2
60.8,58.8
60,58.4
60.8,58.8
60.4,58.4
61.8,58.8
61.2,58.7
61.2,58.7
61.8,58.1
61.9,58.5
61.5,58
61.9,58.2
61.1,58
61.8,58.4
61.3,58.3
61.8,58.8
61.8,58.8
61.3,58.8
62.6,59
62.1,58.3
62.5,58.6
62.7,58.3
62.9,58.7
62.7,58.5
62.4,58.3
62.3,58
63.2,58.8
63.5,58.3
64.7,58.9
65.9,58
56.9,59.5
57.7,59.6
57.4,59.1
59,59.7
58.7,59.4
58.3,59.6
58.1,59.2
58.9,59.6
58.6,59.5
58.7,59.1
58.7,59.4
58.4,59.5
59.2,59.6
59.5,60
59.5,59.8
59.3,59.5
60,59.1
59.7,59.5
59.3,59.6
59.7,59.8
59.9,59.7
59.6,59.7
59.3,59.1
59,59.3
59.9,60
59.9,59.9
59.4,59.7
59.1,59.6
60.1,59.9
60.3,59
60.6,59.4
61,59.2
60.1,59.9
60.8,59.2
60.8,59.3
60.6,59.5
60.1,60
60.9,60
61,59.8
60.8,60
60.8,59.6
60.5,59.6
60.9,59.4
60.1,59.4
60.8,59.9
60.1,59.3
60,59.4
60.6,59.5
60.7,59.4
60.1,59.7
60.5,59.8
60.2,59.9
60.1,59.3
60.2,59.8
60.5,59.6
60,59.5
60.4,59.8
60.7,59.3
60.8,59.3
60.1,59.5
60.6,59.9
60.4,59.4
60.2,59.8
61.7,59.3
61.6,59.6
61,59.4
61.4,59.4
61.6,59.7
62,59.6
61.8,59.5
61.8,59.2
61.1,59
61.8,59.7
61,59.9
61.3,59.3
61.1,59.8
61.3,59.6
61.2,59.6
61.6,59.2
61.5,59.4
61.7,59.7
61.9,59.7
61.2,59.1
61.6,59
61.8,59.8
61.9,59.8
61.8,59.3
62,60
61.3,59.7
61.7,59.2
61.5,59.5
61.2,59.5
61.9,59.1
61.6,59
61.2,59.1
61.8,59.6
61,60
62.7,59
62.9,59.2
62.3,59.1
62.1,59.2
62,59.7
62.2,59.9
62.4,59.2
63,59
62.9,59.4
62.1,59.7
62.5,59
62.8,59.9
62.5,59.8
62.4,59.6
62.6,59.3
63.7,59.6
63.5,59.6
64,59.4
63.9,59.7
63.9,59.9
63.8,59.6
63.4,59.8
63.7,59.3
63,60
64.5,59.3
67.9,59.5
57.3,60.6
58.4,60.7
58.3,60.5
58.7,60.6
59.4,60.2
59.5,60.9
59.4,60.1
59.2,60.5
59.1,60.9
59.4,60.8
59.6,60.2
59.9,60.9
60,60.9
59.7,60.4
59.1,60.6
59.5,60.1
59.6,60.3
59.1,60.2
59.6,60.7
59.9,60.1
60.1,60.4
60.3,60.1
60.2,60.1
60.2,60.6
60.6,60.5
60.9,60.4
60.3,60.9
60,60.7
60.8,60.8
60.4,60.2
60.1,60.1
60.4,60.2
60.6,60.4
60.2,60.6
60.1,60.3
60.7,60.4
61,60.3
60.2,60.2
60.7,60.7
60.3,60.7
60.3,60.2
60.1,60.6
60.7,60.9
60.7,60.2
60.4,60.2
60.6,60.5
60.4,60.7
60.7,60
60.6,60.5
60.4,60.3
60.1,60.5
60.9,60.3
60.1,60.3
60.4,60.8
60.4,60.3
61.7,60.1
61.1,60.2
61.3,60.8
61.4,60.9
61,60
61.4,60.5
61.4,60.9
61.1,60.4
61.4,60
61.1,60.2
61.5,61
61.1,60.3
61.9,60.1
61.7,60.6
61.9,60.8
61.9,60.8
61.6,60.7
61.2,60.3
61.8,60.2
61.5,60.9
61.5,60.9
61.9,60.6
61.3,60.7
61.2,60.3
61.7,60.8
61.5,60.3
61,60
61.9,60.8
61.8,60.8
61.8,60.6
61.5,60.4
61.9,60.2
61.4,60.5
61.2,60
61.6,60.2
61.3,60.4
62.1,60.2
62,60.9
62.7,60.9
62.8,60.6
62.2,60
62.9,60.9
62.6,60.7
62.6,60.7
62.2,60.8
63,60.8
62.9,60.9
62.1,60.4
62.3,60.1
62.3,60.7
62.1,60.8
62.9,60.4
62.5,60.6
62.6,60.8
63,60.6
62.3,60.9
62.6,60.5
62.2,60.1
62.9,60.1
62.2,60.4
62.4,61
62.4,60.8
62.9,60.8
62.4,60.3
62.1,60.3
63.8,60.7
63.8,60.5
64,60.5
63.5,60.2
